 time            com             in              mid             out             time            vcom#branch     vin#branch     
 5.03344560e-05  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  5.03344560e-05  0.00000000e+00  0.00000000e+00 
 1.00666104e-04  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.00666104e-04  0.00000000e+00  0.00000000e+00 
 2.01329400e-04  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  2.01329400e-04  0.00000000e+00  0.00000000e+00 
 4.02655992e-04  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  4.02655992e-04  0.00000000e+00  0.00000000e+00 
 8.02655992e-04  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  8.02655992e-04  0.00000000e+00  0.00000000e+00 
 1.20265599e-03  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.20265599e-03  0.00000000e+00  0.00000000e+00 
 1.60265599e-03  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.60265599e-03  0.00000000e+00  0.00000000e+00 
 2.00265599e-03  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  2.00265599e-03  0.00000000e+00  0.00000000e+00 
 2.40265599e-03  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  2.40265599e-03  0.00000000e+00  0.00000000e+00 
 2.80265599e-03  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  2.80265599e-03  0.00000000e+00  0.00000000e+00 
 3.20265599e-03  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  3.20265599e-03  0.00000000e+00  0.00000000e+00 
 3.60265599e-03  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  3.60265599e-03  0.00000000e+00  0.00000000e+00 
 4.00265599e-03  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  4.00265599e-03  0.00000000e+00  0.00000000e+00 
 4.40265599e-03  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  4.40265599e-03  0.00000000e+00  0.00000000e+00 
 4.80265599e-03  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  4.80265599e-03  0.00000000e+00  0.00000000e+00 
 5.20265599e-03  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  5.20265599e-03  0.00000000e+00  0.00000000e+00 
 5.60265599e-03  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  5.60265599e-03  0.00000000e+00  0.00000000e+00 
 6.00265599e-03  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  6.00265599e-03  0.00000000e+00  0.00000000e+00 
 6.40265599e-03  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  6.40265599e-03  0.00000000e+00  0.00000000e+00 
 6.80265599e-03  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  6.80265599e-03  0.00000000e+00  0.00000000e+00 
 7.20265599e-03  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  7.20265599e-03  0.00000000e+00  0.00000000e+00 
 7.60265599e-03  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  7.60265599e-03  0.00000000e+00  0.00000000e+00 
 8.00265599e-03  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  8.00265599e-03  0.00000000e+00  0.00000000e+00 
